No.,TITLE,AUTHOR,ACCESSION NO.,CALL NUMBER,DATE ACQUIRED,Summary,Keywords,General_Category,Sub_Category,Like,Dislike
672,Bordered aging: ethnography of daily life in the filipino,"Somera, Rene",4969kh,KH305.26 So53b 1997,5-Nov-98,"""Bonifacio's Bolo"" by Ambeth Ocampo is a historical exploration of the life and legacy of Andres Bonifacio, a pivotal figure in the Philippine revolution against Spanish colonial rule. The book delves into Bonifacio's leadership, the myths surrounding his persona, and the symbolic significance of his bolo, offering insights into the complexities of Filipino national identity and history.","Bonifacio, revolution, history, Philippines, identity",History,Non-Fiction,11,7
673,Boss: 5 case studies of local politics in the Philippines,,3759kh,KH320.9599 B653,,"""The Book of Martyrs: Selected Poems 1982-1992"" by Constantino Tejero is a poignant collection that delves into the themes of sacrifice, struggle, and the human condition. Drawing inspiration from historical and contemporary figures regarded as martyrs, Tejeroâ€™s poetry captures the essence of their courage and suffering. Through vivid imagery and evocative language, the poems explore the intersection of personal and collective experience, offering readers a profound reflection on the nature of martyrdom.","martyrdom, sacrifice, struggle, courage, human condition",Politics,Poetry,14,7
674,Breaking through: the struggle within the … communist,"Rocamora, Joel",2533kh,KH320.53209599 R58b,,"""Bordered Aging: Ethnography of Daily Life in the Filipino"" by Rene Somera offers an insightful exploration into the everyday experiences of aging Filipinos. Through ethnographic research, Somera delves into how cultural, social, and economic factors shape the lives of the elderly in the Philippines, highlighting their challenges, resilience, and the roles they play within their families and communities.","aging, ethnography, Filipino culture, daily life, community",Non-Fiction,Non-Fiction,14,16
2834,Computer Program Construction,"Billings, Charlene",411kh,KH005.13 M599c 1994,,"""Computer Program Construction"" by Charlene Billings is a comprehensive guide that delves into the principles and practices involved in building robust and efficient computer programs. The book covers essential topics such as algorithm design, code optimization, debugging, and testing, providing readers with a solid foundation in software development. Through practical examples and clear explanations, Billings equips both novice and experienced programmers with the tools and knowledge necessary to construct high-quality software solutions.","programming, algorithms, software development, debugging, optimization",Non-Fiction,Technical,8,18
676,Broadcast-based distance learning system,"Flor, Alexander",4336kh,KH384.54 F661b 1995,,"""Breaking Through: The Struggle Within the Communist"" by Joel Rocamora explores the internal conflicts and ideological battles within the Communist Party. The book provides an in-depth analysis of the challenges faced by the party in adapting to changing political landscapes and the tensions between traditional communist ideologies and modern political realities. Through a detailed examination of the party's evolution, Rocamora sheds light on the broader implications for leftist movements globally.","Communism, internal conflict, ideology, political adaptation, leftist movements",Politics,Political ,7,19
677,Bru-ha-ha-ha-ha-ha… bru-hi-hi-hi-hi-hi…,"Remegio, Corazon",3519/3520kh,KH899.211301 R283b 1995,,"""Breakthroughs in Forestry Development, Experience of the Asian"" by Ganquili, Bar explores the innovative practices and advancements in forestry management within Asian countries. The book delves into sustainable forestry techniques, policy reforms, and community involvement that have contributed to significant ecological and economic benefits in the region. It highlights case studies and provides insights into the challenges and successes faced by Asian countries in promoting sustainable forestry.","forestry, sustainable development, Asia, policy reforms, community involvement",Non-Fiction,Non-Fiction,6,20
678,"Bugso: Maikling Katha, 1954-1964","Abueg, Efren",3710kh,KH899.2113 Ab93b 1993,,"""Broadcast-based Distance Learning System"" by Alexander Flor explores the integration of broadcasting technologies with educational frameworks to enhance distance learning. The book delves into the historical evolution, methodologies, and practical applications of broadcast media in delivering educational content to remote learners. It emphasizes the potential of these systems to democratize education by overcoming geographical and socioeconomic barriers.","broadcasting, distance learning, education technology, remote education, media integration",Non-Fiction,Educational,10,20
679,"Buhay, dangal, pag ibig","Sandoval, Lara",3105kh,KH Fic Sa57bu 1994,4-Jun-97,,,Fiction,,8,8
680,Bulaklak ng Maynila: nobela,"Landicho, Domingo G.",2489 kh,KH899.2113 L234b 1995 ,6-Jun-97,"'Bugso: Maikling Katha, 1954-1964' is a collection of short stories by Efren Abueg that captures the essence of Filipino life and culture during the mid-20th century. The stories explore themes of social change, human relationships, and the struggles of everyday people, offering a poignant reflection on the challenges and hopes of the era.","Filipino, culture, short stories, social change, relationships",Fiction,Fiction,17,15
681,Ang bundok at iba pang dula,"Bonifacio, Amelia L.",3711kh,KH899.2112 B641b 1994,,"""Buhay, Dangal, Pag-ibig"" by Lara Sandoval is a poignant exploration of life in the Philippines, weaving together themes of honor, love, and resilience. Through the lives of its richly drawn characters, the novel delves into the struggles and triumphs of everyday people as they navigate personal and societal challenges. It highlights the enduring power of familial bonds and the quest for dignity amid adversity.","life, honor, love, resilience, Philippines",Fiction,Contemporary Fiction,15,16
682,Business Mathematics,"Pagoso,Cristobal M.",2807 kh,KH650.01513P14b 1990,,"""Bulaklak ng Maynila: Nobela"" by Domingo G. Landicho is a poignant exploration of life in Manila, capturing the struggles and aspirations of its characters amidst the backdrop of urban poverty and societal challenges. The novel delves into themes of survival, love, and the quest for a better life, portraying the vibrant yet harsh realities of life in the city.","Manila, poverty, survival, love, urban life",Fiction,Fiction,14,5
683,A call for a fundamental change of course,,4430kh,KH959.9 P941c 1994,,"""Ang bundok at iba pang dula"" by Amelia L. Bonifacio is a collection of plays that explore various themes rooted in Filipino culture and society. The works delve into the complexity of human relationships, societal norms, and traditional values, often featuring rich symbolism and allegory. Bonifacio's plays are known for their deep engagement with cultural identity and the human condition, offering insightful reflections on contemporary and historical issues in the Philippines.","Filipino culture, plays, symbolism, human relationships, identity",Fiction,Drama,9,19
684,The carabao-turtle race & other classic Philippine Animal tales,"Ventura, Sylvia M.",3304kh,KH398.242 V567c 1993,,"""Business Mathematics"" by Cristobal M. Pagoso offers a comprehensive exploration of mathematical concepts and techniques used in the business world. The book covers fundamental topics such as interest calculations, annuities, amortization, and statistical methods, providing practical examples and applications relevant to business operations and financial decision-making.","Business, Mathematics, Finance, Calculations, Statistics",Children,Educational,6,14
685,Carigara,,2496kh,KH959.9531313 G191c,6-Jun-97,,,Fiction,,18,13
686,Carlos P. Romulo,,3305kh,KH324.2092 R567v 1995,,"""The Carabao-Turtle Race & Other Classic Philippine Animal Tales"" by Sylvia M. Ventura is a collection of traditional Filipino folktales featuring animals as central characters. Through these engaging stories, the book explores themes of wit, intelligence, and morality, showcasing the rich cultural heritage and storytelling tradition of the Philippines. Each tale imparts valuable lessons and reflects the deep connection between the Filipino people and their natural environment.","folklore, animals, Philippines, culture, morality",Children,Folktale,15,18
687,Casebook on Banking,"Viray, Antonio V.",3905kh,KH346.082v815c 1994,,,,Law,,14,16
688,CCP Encyclopedia of Philippine Art; Volume 1- X,,174-183 kh,KH703 C319 1994,4-Jun-97,"The book ""Carlos P. Romulo"" explores the life and legacy of Carlos P. Romulo, a prominent Filipino diplomat, soldier, journalist, and politician. It delves into his influential role in international diplomacy, his contributions to the Philippines' national identity, and his tenure as President of the United Nations General Assembly. The narrative highlights his dedication to global peace, his literary achievements, and his impact on Philippine history.","Carlos P. Romulo, diplomacy, Philippines, United Nations, history",Art & Media,Biography,13,16
689,Celebrations with the sun: an overview of religious… ,"Bottignob, Bruno",3646kh,Kh305.89921 B659c 1995,,"""Casebook on Banking"" by Antonio V. Viray is an educational resource that explores the complexities of banking law and practice. It provides a comprehensive collection of real-world cases, legal principles, and analytical commentary aimed at students and professionals in the banking and financial sectors. The book serves as a practical guide for understanding the legal framework governing banking operations and regulatory compliance.","banking, law, cases, finance, compliance",Law,Educational,20,14
690,The Charism of St. John Baptist De la Salle,,3712kh,KH270.092 J613c 1994,,"The ""CCP Encyclopedia of Philippine Art"" is a comprehensive multi-volume reference work that explores the rich tapestry of Philippine arts and culture. Each volume covers various disciplines, including visual arts, music, dance, theater, film, architecture, and literature, offering in-depth insights into historical and contemporary practices. This extensive encyclopedia is an essential resource for understanding the diverse artistic heritage and cultural narratives of the Philippines.","Philippine art, cultural heritage, visual arts, literature, theater",Art & Media,Reference,13,14
691,Chemistry: science & technology III,"Dy, Eben S.",2793kh,KH540.D98c 1994,,"""Celebrations with the Sun: An Overview of Religious Festivals in Mexico"" by Bruno Bottignob explores the rich tapestry of religious traditions and festivals in Mexico. The book delves into how these celebrations are intertwined with the cultural and historical evolution of the region, highlighting the fusion of indigenous rituals with Catholic influences. Bottignob provides an insightful examination of how these festivals serve as a reflection of the community's identity and the enduring significance of solar symbolism in their spiritual practices.","Mexico, religious festivals, indigenous rituals, Catholicism, solar symbolism",Non-Fiction,Religion,16,19
692,The Chinese Immigrants,"See, Chinben",3398kh,KH305.89510599 Se31 c 1992,,"'The Charism of St. John Baptist De la Salle' explores the life and spiritual legacy of St. John Baptist De la Salle, the patron saint of teachers. It delves into his innovative approaches to education, his dedication to the poor, and his foundational role in establishing the Institute of the Brothers of the Christian Schools. Through a detailed examination of his teachings and values, the book highlights De la Salle's enduring influence on modern education and his commitment to providing quality education to all, especially the marginalized.","education, spirituality, innovation, legacy, teaching",Non-Fiction,Biography,15,18
693,The Chinese in Manila,"Alip, Eufronio M.",2617kh,KH305.8951059 A146c 1993,5-Jun-97,"""Chemistry: Science & Technology III"" by Eben S. Dy is an educational text that delves into advanced concepts of chemistry, focusing on both theoretical principles and practical applications. The book covers a broad range of topics, including chemical reactions, molecular structures, and technological advancements in the field. It is designed to enhance the reader's understanding of chemistry and its role in modern science and technology.","chemistry, molecular structures, chemical reactions, technology, science",Science,Educational,12,19
694,Choice: selected stories,"Moore, Lina E.",2497kh,KH899.210301 M784c 1995,,,,Fiction,,15,16
695,Christ in the Phils.,"Mercado, Leonardo N.",4343kh,KH232 M533c 1982,,"""The Chinese in Manila"" by Eufronio M. Alip explores the historical and socio-cultural impact of the Chinese community in Manila. The book delves into the contributions and challenges faced by Chinese immigrants, examining their integration into Filipino society and their influence on commerce, culture, and politics throughout various periods in history.","Chinese immigrants, Manila, history, integration, commerce",History,Non-Fiction,19,18
696,Christian democracy and social market economy: an alternative..,"Dejillas, L. J.",4344kh,KH324.2182 D368c ,,"""Choice: Selected Stories"" by Lina E. Moore is a compelling collection of short stories that explore the intricacies of human decision-making. Through diverse narratives, Moore delves into the lives of various characters as they grapple with pivotal choices that shape their identities and destinies. Each story presents a unique perspective on the consequences of choice, highlighting themes of regret, redemption, and the unforeseen impact of seemingly small decisions.","choice, identity, decision-making, consequences, redemption",Politics,Fiction,17,9
697,Christmas in the Phils.: christmas around the world…,,2278kh,Kh263.91 C464 1990,,"'Christ in the Phils.' by Leonardo N. Mercado explores the integration of Christianity within the cultural and social context of the Philippines. The book examines how Filipino values, traditions, and historical experiences shape the understanding and expression of Christian faith in the country. Mercado delves into the unique aspects of Filipino spirituality and theology, highlighting the syncretism that occurs when local beliefs intersect with Christian teachings.","Christianity, Philippines, culture, spirituality, syncretism",Spiritual,Religion,11,14
698,CIPS on trial: community information & planning system,,3760kh,KH370.194 C495 1994,,"""Christian Democracy and Social Market Economy: An Alternative"" by L. J. Dejillas explores the intersection of Christian democratic principles and the social market economy model. The book examines how these ideologies can offer viable alternatives to contemporary economic systems, emphasizing ethical governance, social justice, and sustainable development. Dejillas analyzes historical and theoretical foundations, proposing policies that integrate moral values with economic practices to address global challenges.","Christian democracy, social market economy, ethical governance, sustainable development, economic systems",Non-Fiction,Non-Fiction,14,19
699,"Citizenship, naturalization…Registration…Registration laws annotated","Phil. (laws, etc)",3883kh,KH342.599083 P538c 1988,,,,Law,,7,19
700,"Civil code of the Phils. (RA 386, as amended)",,3898kh,KH348.599.C499 1993,,"""CIPS on Trial: Community Information & Planning System"" examines the effectiveness and challenges of implementing a community-based information and planning system. The book explores case studies and real-world applications, highlighting the system's potential to enhance community engagement and decision-making. It also addresses the obstacles faced in its adoption and the lessons learned from various trials.","community, information, planning, engagement, challenges",Law,Non-Fiction,19,19
701,The clarification and integration of values,"Tan, Ernesto",4431kh,KH370.114 T153c 1989,,"'Citizenship, Naturalizationâ€¦Registrationâ€¦Registration Laws Annotated' by Phil. (laws, etc) is a comprehensive legal reference that delves into the intricacies of citizenship and naturalization processes. It provides detailed annotations and explanations of registration laws, offering insights into legal precedents, statutory interpretations, and procedural guidelines. This book serves as an essential resource for legal professionals and individuals seeking to understand the complexities of citizenship and registration law.","citizenship, naturalization, registration laws, legal reference, statutory interpretation",Law,Legal,7,18
702,Clear effective writing:  a PPI manual,,4432kh,KH050.4 C58 1990,,"The ""Civil Code of the Philippines (RA 386, as amended)"" is a comprehensive legal document that governs private law in the Philippines. It covers various aspects of civil law, including obligations and contracts, family law, property, succession, and general provisions. The code is designed to regulate the private relationships between individuals and set the legal framework for personal and property rights, ensuring justice and legal order in civil matters.","civil law, obligations, contracts, family law, property",Law,Legal,6,15
759,Doors to life! Doors to love!,"Delos Santos, Gabriel",2779kh,KH264.02  D384d 1994,,"""Diwang Pilipino: mga kwento ng kabayanihan"" by Reniel Villanueva is a collection of stories that celebrate the heroism and resilience of the Filipino spirit. Through a series of narratives, the book highlights the courage, sacrifice, and strength of ordinary Filipinos who have made extraordinary contributions to their communities and country. These stories not only reflect the rich cultural heritage of the Philippines but also inspire readers to embody the values of bravery and patriotism.","heroism, resilience, Filipino, courage, patriotism",Fiction,Anthology,7,18
704,College Teaching in the Phils.,"Bucer, Luz C.",4433kh,KH378.007 B858c 1994,,"""Clear Effective Writing: A PPI Manual"" serves as a comprehensive guide to mastering the art of writing with precision and clarity. It offers practical techniques and strategies to enhance writing skills, emphasizing the importance of clear communication in professional and personal contexts. The manual covers various aspects of writing, including structure, style, and the use of language, making it an essential resource for anyone looking to improve their writing proficiency.","writing, clarity, communication, techniques, proficiency",Academic,Educational,11,5
705,The colonization of the Philippines & the beginnings of the Spanish city of Manila,"Zafra, Nicolas",2670kh,KH959.902 Z13c 1992,6-Jun-97,"""Cocina SulipeÃ±a: Culinary Gems from Old Pampanga"" by Gene Gonzales delves into the rich culinary heritage of Pampanga, a province in the Philippines known for its vibrant and flavorful cuisine. The book offers a collection of traditional recipes, historical anecdotes, and cultural insights, showcasing the unique blend of indigenous and colonial influences that define Kapampangan cooking. With meticulous attention to detail, Gonzales shares both classic and lesser-known dishes, inviting readers to explore and appreciate the depth of Pampanga's gastronomic traditions.","Pampanga, Kapampangan, cuisine, recipes, heritage",History,Culinary ,10,7
706,Commentaries on the Labor code of the Philippines; revised edition,"Pasimio, Renato",2416kh,KH344.59901 P263c 1995,6-Jun-97,"""College Teaching in the Phils."" by Luz C. Bucer explores the nuances and challenges of higher education in the Philippines. The book delves into pedagogical strategies, curriculum development, and the socio-cultural factors influencing teaching practices in Filipino colleges. It provides insights into effective teaching methodologies tailored to the local context, aiming to enhance the quality of education and address the unique needs of Filipino students.","higher education, Philippines, pedagogy, curriculum, teaching strategies",Academic,Educational,9,18
707,Communicating between cultures: an introduction to…,"Eilers, Franz J.",4346kh,KH303.482 Ei55c 1992,,"""The Colonization of the Philippines & the Beginnings of the Spanish City of Manila"" by Nicolas Zafra explores the historical impact of Spanish colonization on the Philippines, focusing on the establishment and development of Manila as a pivotal colonial city. The book delves into the socio-political changes, cultural interactions, and economic transformations that occurred during this period, highlighting the complexities and consequences of colonial rule.","colonization, Philippines, Manila, Spanish rule, historical impact",History,History,15,5
708,Communicating in the community: an introduction to social…,"Eilers, Franz J.",4347kh,KH302.2 Ei55c 1994,,"""Commentaries on the Labor Code of the Philippines; Revised Edition"" by Renato Pasimio offers an in-depth analysis of the labor laws in the Philippines. This comprehensive guide provides detailed explanations and interpretations of the provisions within the Labor Code, aiming to assist legal practitioners, students, and employers in understanding its complexities. The revised edition includes updates reflecting recent legal developments and amendments, ensuring readers are informed of the current legal landscape regarding labor rights and obligations.","Labor Code, Philippines, legal analysis, employment law, Renato Pasimio",Law,Legal Reference,17,13
709,Compedium on evidence: 4th edition,"Sibal, Jose Agaton",3953kh,KH347.59906 Si11c 1995,,"""Communicating between Cultures: An Introduction toâ€¦"" by Franz J. Eilers explores the complexities of intercultural communication. The book provides insights into how cultural differences impact communication styles, practices, and understanding. Eilers offers strategies for improving communication across cultural boundaries, emphasizing the importance of cultural awareness and sensitivity.","intercultural, communication, cultural differences, awareness, sensitivity",Academic,Non-Fiction,11,9
710,A compilation of Philippine Labor & social legislation,,3886kh,KH344.59901 C738 1992,,"""Communicating in the Community: An Introduction to Social..."" by Franz J. Eilers focuses on the fundamental principles and practices of effective communication within community settings. It explores various communication methods, the role of media, and the impact of cultural and social dynamics on information exchange. The book aims to enhance readers' understanding of how to engage communities through meaningful dialogue and participatory approaches.","communication, community, media, culture, engagement",Non-Fiction,Educational,6,17
711,Compiled rules & regulations on pleadings practice & procedure 2,"Manansala, Manuel",2453kh,KH347.599072 M311c 1992,6-Jun-97,"""Compendium on Evidence: 4th Edition"" by Jose Agaton Sibal is a comprehensive guide to the principles and applications of evidence in legal proceedings. This edition updates previous content with recent case laws and legal standards, providing a detailed examination of rules regarding the admissibility, relevance, and reliability of evidence. It serves as an essential resource for legal practitioners, students, and scholars seeking to understand the complexities of evidentiary law.","evidence, admissibility, legal proceedings, case law, reliability",Law,Legal,10,15
712,Compost makes the strawberries grow: a mother celebration. Of parenting,"Jardeliza,Lolita",3640kh,KH649  J282c 1995,,"""A Compilation of Philippine Labor & Social Legislation"" serves as a comprehensive resource detailing the laws and regulations governing labor and social issues in the Philippines. It includes critical statutes, administrative orders, and relevant case law, offering guidance for legal practitioners, employers, and employees navigating the complexities of labor rights and social welfare in the country.","Philippine labor, social legislation, employment law, workers' rights, legal statutes",Non-Fiction,Legal Reference,9,12
713,"Conduct for today,","Feliciano, Evelyn",4929kh,KH248.4 F334c 1977,5-Nov-98,"""Compiled Rules & Regulations on Pleadings Practice & Procedure 2"" by Manuel Manansala is a comprehensive guide detailing the procedural rules and regulations for legal pleadings and practice. It serves as an essential resource for legal professionals, providing clarity and guidance on navigating the complexities of legal procedures and ensuring adherence to judicial protocols.","legal procedures, pleadings, regulations, practice, judiciary",Law,Legal Reference,15,5
714,"Conflict of laws: cases, materials & comments","Coquia, Jorge",3945kh,KH341.5 C799c 1995,,"""Compost Makes the Strawberries Grow: A Mother Celebration of Parenting"" by Lolita Jardeliza is a heartfelt exploration of the joys and challenges of motherhood. Through personal anecdotes and reflections, the author delves into the nurturing aspects of parenting, drawing parallels between cultivating a garden and raising children. The book celebrates the growth and transformation that both children and parents undergo, emphasizing the importance of patience, care, and love in the journey of motherhood.","motherhood, parenting, nurturing, growth, love",Law,Non-Fiction,10,11
715,Conquering politico-administrative frontiers…essays in…,,4475kh,KH350.00092 C763 1995,,,,Politics,,20,20
716,Consolidated amendments: hanges to d rules of court 3rd edition,"Manansala, Manuel",2404kh,KH347.599051 M311c 1993,6-Jun-97,"""Conflict of Laws: Cases, Materials & Comments"" by Jorge Coquia is a comprehensive legal text that delves into the complexities of private international law. It examines the principles and rules that determine the applicable legal system and jurisdiction in cross-border disputes. The book provides a rich collection of case studies, authoritative materials, and insightful commentary to illustrate key concepts such as choice of law, jurisdictional issues, and recognition of foreign judgments.","conflict of laws, private international law, jurisdiction, choice of law, cross-border disputes",Law,Legal,11,13
717,Constitutional law 1st edition,"Santiago, Miriam D.",3954kh,KH342.599 Sa59c 1994,,,,Law,,17,6
718,Contemporary ethics,"Cruz, Corazon L.",2402kh,KH170 C889c 1993,6-Jun-97,"""Consolidated Amendments: Changes to the Rules of Court 3rd Edition"" by Manuel Manansala provides a comprehensive overview of the recent amendments and updates to court procedures and rules. It serves as a practical guide for legal professionals, offering insights into the implications of these changes on legal practice and courtroom proceedings.","amendments, court rules, legal practice, courtroom procedures, legal guide",Law,Legal Reference,17,17
720,Conversation with Teodoro Andal Agoncillo; talking history,"Ocampo, Ambeth",1754kh,KH907.202  Oc73o 1995,,"""Contemporary Ethics"" by Corazon L. Cruz explores modern ethical dilemmas and philosophical theories as they relate to current societal challenges. The book examines various perspectives on morality, justice, and human rights, offering insights into how ethical principles can be applied to real-world situations. Through a series of case studies and theoretical discussions, Cruz provides a comprehensive analysis of the evolving landscape of ethics in the contemporary world.","ethics, morality, philosophy, justice, human rights",History,Non-Fiction,15,20
4187,Welcome to Reading:     Anthology of stories & poems,,4708kh,,5/11/1998,"""Welcome to Reading: Anthology of Stories & Poems"" is a collection that brings together a diverse range of narratives and poetic expressions, designed to engage and inspire readers. The anthology features a variety of styles and themes, providing a rich tapestry of literary experiences that cater to different tastes and interests. This book serves as an inviting gateway for readers to explore the imaginative world of literature.",,Fiction,Anthology,5,18
722,The corporation code; with annotations,"Nolledo, Jose N.",2486kh,KH346.599066 N721c 1988,6-Jun-97,"""Conversation with Teodoro Andal Agoncillo; Talking History"" by Ambeth Ocampo is an engaging exploration of Philippine history through a series of insightful dialogues with renowned historian Teodoro Andal Agoncillo. The book captures Agoncillo's perspectives on historical events, figures, and the nature of historical writing, shedding light on the complexities and nuances of the Philippines' past. Ocampo's conversations with Agoncillo provide readers with a deeper understanding of the country's history and the importance of historiography.","Philippine history, Teodoro Agoncillo, historiography, dialogue, Ambeth Ocampo",History,Non-Fiction,15,13
723,Corporation & communities in a developing country,"Luz, Juan M.",2517kh,KH338.74 L979c 1993,,"""Corporation Code of the Philippines with Comments; Revised Edition"" by Celso B. Hilbero is an authoritative guide offering a comprehensive examination of the Corporation Code in the Philippines. This revised edition includes detailed commentary and analysis of legislative changes, case law, and practical applications to aid legal practitioners, corporate officers, and students in understanding and navigating corporate regulations effectively.","Corporation Code, Philippines, legal commentary, corporate law, legislation",Law,Legal Reference,7,10
724,Counselling & values education: steps to peace in Asian Setting,"Clemencia, Rose Marie",4970kh,KH361.323 Cl59c 1997,5-Nov-98,"""The Corporation Code; with Annotations"" by Jose N. Nolledo is a comprehensive guide to the legal framework governing corporations in the Philippines. It provides detailed annotations and interpretations of each section of the Corporation Code, offering insights into their applications and implications. This book serves as an essential resource for legal practitioners, students, and anyone interested in corporate law in the Philippines.","Corporation Code, annotations, legal framework, Philippines, corporate law",Law,Legal,14,15
725,CPA review in business law (based on the new syllabus) of the CPA,"Pasimio, Renato",2415kh,KH346.59907 P263c 1994,6-Jun-97,"""Corporation & Communities in a Developing Country"" by Juan M. Luz examines the intricate dynamics between corporate entities and local communities within developing nations. The book explores the impact of corporate operations on social, economic, and environmental aspects of community life, and highlights the challenges and opportunities that arise from these interactions. It provides case studies and analyses to illustrate how corporations can play a role in sustainable development while addressing the needs and concerns of local populations.","corporations, communities, developing countries, sustainability, social impact",Business & Career,Non-Fiction,11,16
726,Criminal procedure for criminology students…,"Wi, Alfredo",3906kh,KH343.09143 W629c 1993,,"""Counselling & Values Education: Steps to Peace in Asian Setting"" by Rose Marie Clemencia explores the integration of counseling and values education as a means to foster peace and harmony in Asian societies. The book examines cultural contexts and provides strategies for educators and counselors to address diverse challenges. It emphasizes the importance of understanding cultural values and promoting empathy and communication to cultivate peaceful coexistence.","counseling, values education, peace, Asian culture, empathy",Law,Educational,10,18
727,Criminal procedure: rules 110-127 rules of court,,3899kh,KH345.599 P538v 1994,,"""CPA Review in Business Law"" by Renato Pasimio offers a comprehensive guide designed to help aspiring Certified Public Accountants prepare for the business law section of the CPA exam. Tailored to align with the new syllabus, the book provides detailed explanations of key legal concepts, case studies, and practice questions to enhance understanding and retention of material. It serves as an essential resource for mastering the business law topics required for CPA certification.","CPA exam, business law, syllabus, preparation, certification",Law,Educational,5,20
728,The cross & the Philippines: the good news for our times,"Villegas,Guillermo",4348kh,KH248.4 V514c 1992,,"""Criminal Procedure for Criminology Students"" by Alfredo Wi provides an in-depth exploration of the legal processes involved in the criminal justice system. It serves as a comprehensive guide for students, covering topics such as arrest, search and seizure, trial procedures, and the rights of the accused, while emphasizing practical applications in real-world scenarios.","criminal justice, legal processes, arrest, trial procedures, rights",Law,Educational,16,13
729,Crossing the snow bridge,"Wilson, Fatima lim",4326kh,KH899.2101 W693c 1995,,"""Criminal Procedure: Rules 110-127 Rules of Court"" is a comprehensive guide that details the specific sections of criminal procedure rules, focusing on the intricacies of court proceedings. It serves as an essential resource for legal professionals, offering in-depth analysis and interpretation of the rules, and providing practical insights into their application within the judicial system.","criminal procedure, court rules, legal guide, judicial system, law interpretation",Law,Legal Reference,6,12
730,Cubao pagkagat ng dilim: Mga kuwentong kababalaghan,"Perez, Tony",4434kh,KH899.2113 P415c 1993,,,,Fiction,,10,6
731,Cuento/kuwento,,4971kh,KH899.211301 C894 1997,5-Nov-98,,,Children,,16,13
732,The cultural background of Japanese economic development,"Shiratori, Fumiko",1746kh,KH338.9052 Sh65c 1995,,"""Cubao Pagkagat ng Dilim: Mga Kuwentong Kababalaghan"" by Tony Perez is a collection of eerie and spine-chilling tales set in the bustling district of Cubao in the Philippines. The stories delve into the supernatural and the mysterious, exploring themes of fear, the unknown, and the paranormal encounters that lurk in the shadows of urban life. Each tale immerses the reader in the haunting atmosphere of Cubao after dark, where the line between reality and the supernatural blurs.","supernatural, mystery, Cubao, paranormal, fear",Fiction,Horror,13,14
733,Curriculum development in the Philippine setting,"Andres, Tomas Q.",2392kh,Kh375.001 An25c 1989,5-Jun-97,"""Cuento/kuwento"" is a bilingual collection of short stories that captures the rich tapestry of Filipino and Latin American cultures. Through a series of interconnected narratives, the book explores themes of identity, migration, and cultural fusion. The stories highlight personal and collective experiences, drawing parallels between the two cultures while celebrating their distinctiveness and shared histories.","bilingual, identity, migration, culture, stories",Academic,Fiction,6,6
734,Customs brokers reviewer,"Tejam, Montano",3944kh,KH336.26076 T235v 1989,,"""The Cultural Background of Japanese Economic Development"" by Fumiko Shiratori explores the unique cultural factors that have influenced Japan's economic growth. The book delves into historical, social, and cultural aspects, examining how traditional values, work ethics, and societal norms have shaped Japan's economic policies and practices. It provides insights into the interplay between culture and economics in Japan's development journey.","Japan, economic development, culture, work ethics, societal norms",Non-Fiction,Non-Fiction,17,17
736,Dahil bigay ka ng Maykapal ,Puedan Jocelyn,3107kh,KH Fic P962d 1994,4-Jun-97,"""Customs Brokers Reviewer"" by Tejam and Montano is a comprehensive guide designed to aid individuals preparing for the customs broker licensure examination. The book covers essential topics such as customs laws, procedures, and regulations, offering a detailed overview of the roles and responsibilities of a customs broker. It includes practice questions and explanations to help readers gain a thorough understanding of the subject matter and succeed in their professional exams.","customs, brokers, examination, regulations, licensure",Non-Fiction,Educational,16,16
737,Daginding: ang unang daga sa buwan,"Alonzo, Roberto",3591 & 3592kh,KH499.21186 A172d 1995,,,,Fiction,,6,16
738,Mga dakilang Pilipino,,2693kh,KH959.9092 D149 19--,6-Jun-97,"""Dahil bigay ka ng Maykapal"" by Puedan Jocelyn is a heartfelt narrative that explores themes of fate, love, and divine intervention. The story follows the intertwined lives of its characters as they navigate personal struggles and serendipitous encounters, ultimately discovering the profound impact of destiny and the blessings bestowed by a higher power.","destiny, love, fate, divine, blessings",Fiction,Romance,6,6
739,Dalagang bukid,,479kh,KH899.2112 D151991,4-Jun-97,"""Daginding: Ang Unang Daga sa Buwan"" by Roberto Alonzo is a charming tale that follows the adventurous journey of Daginding, a curious mouse with a dream of becoming the first mouse to set foot on the moon. Through determination and ingenuity, Daginding overcomes various challenges, inspiring readers with a message of perseverance and the importance of following one's dreams.","adventure, perseverance, space, dreams, mouse",Fiction,Children'S Literature,16,9
740,Dalawang dagang bulag,"Desuasido, Rodolfo",3549 & 3550kh,Kh499.21186 D477d 1983 v. 2,,"""Mga Dakilang Pilipino"" is an inspiring collection of biographies that highlights the lives and contributions of notable Filipino individuals who have made significant impacts in various fields such as politics, arts, science, and social movements. The book aims to celebrate their achievements and inspire future generations by showcasing their dedication, perseverance, and patriotism.","biographies, Filipino, achievements, inspiration, patriots",Non-Fiction,Biography,19,5
741,"Dalawang mukha, iisang puso","Tolention, Anita",3050kh,KH Fic T575d 1994,4-Jun-97,"""Dalagang Bukid"" is a story centered around a young, innocent country girl named Angelita who faces various challenges as she navigates life and love in rural Philippines. The tale explores themes of tradition, societal expectations, and the struggle between personal desires and familial duties, set against the backdrop of a changing countryside.","Angelita, rural, tradition, love, challenges",Fiction,Drama,14,13
